Timestamp,Color Counts,Average Areas
2025-03-25 11:01:11.070281,"{'Blue': 10, 'White': 2, 'Black': 10}","{'Blue': 6179.0, 'White': 1974.25, 'Black': 5214.55}"
2025-03-25 11:01:11.085242,"{'Blue': 9, 'White': 2, 'Black': 11}","{'Blue': 7098.28, 'White': 1980.5, 'Black': 4133.27}"
2025-03-25 11:01:11.100224,"{'Blue': 9, 'White': 2, 'Black': 11}","{'Blue': 7098.28, 'White': 1980.5, 'Black': 4133.27}"
2025-03-25 11:01:11.122305,"{'Blue': 9, 'White': 2, 'Black': 11}","{'Blue': 7098.28, 'White': 1980.5, 'Black': 4133.27}"
2025-03-25 11:01:11.137215,"{'Blue': 8, 'White': 2, 'Black': 10}","{'Blue': 8609.06, 'White': 1996.5, 'Black': 4492.05}"
2025-03-25 11:01:11.153119,"{'Blue': 8, 'White': 2, 'Black': 10}","{'Blue': 8609.06, 'White': 1996.5, 'Black': 4492.05}"
2025-03-25 11:01:11.168233,"{'Blue': 8, 'White': 2, 'Black': 10}","{'Blue': 8609.06, 'White': 1996.5, 'Black': 4492.05}"
2025-03-25 11:01:11.183591,"{'Blue': 13, 'White': 2, 'Black': 11}","{'Blue': 6189.38, 'White': 1867.75, 'Black': 4090.73}"
2025-03-25 11:01:11.199866,"{'Blue': 13, 'White': 2, 'Black': 11}","{'Blue': 6189.38, 'White': 1867.75, 'Black': 4090.73}"
2025-03-25 11:01:11.216448,"{'Blue': 13, 'White': 2, 'Black': 11}","{'Blue': 6189.38, 'White': 1867.75, 'Black': 4090.73}"
2025-03-25 11:01:11.230060,"{'Blue': 9, 'White': 2, 'Black': 8}","{'Blue': 11113.61, 'White': 1219.25, 'Black': 5404.06}"
2025-03-25 11:01:11.245092,"{'Blue': 9, 'White': 2, 'Black': 8}","{'Blue': 11113.61, 'White': 1219.25, 'Black': 5404.06}"
2025-03-25 11:01:11.263029,"{'Blue': 9, 'White': 2, 'Black': 8}","{'Blue': 11113.61, 'White': 1219.25, 'Black': 5404.06}"
2025-03-25 11:01:11.277901,"{'Blue': 11, 'White': 2, 'Black': 8}","{'Blue': 9655.55, 'White': 1178.5, 'Black': 5410.75}"
2025-03-25 11:01:11.293350,"{'Blue': 11, 'White': 2, 'Black': 8}","{'Blue': 9655.55, 'White': 1178.5, 'Black': 5410.75}"
2025-03-25 11:01:11.309858,"{'Blue': 11, 'White': 2, 'Black': 8}","{'Blue': 9655.55, 'White': 1178.5, 'Black': 5410.75}"
2025-03-25 11:01:11.324840,"{'Blue': 11, 'White': 2, 'Black': 8}","{'Blue': 9655.55, 'White': 1178.5, 'Black': 5410.75}"
2025-03-25 11:01:11.340483,"{'Blue': 11, 'White': 2, 'Black': 8}","{'Blue': 9655.55, 'White': 1178.5, 'Black': 5410.75}"
2025-03-25 11:01:11.356564,"{'Blue': 11, 'White': 2, 'Black': 8}","{'Blue': 9655.55, 'White': 1178.5, 'Black': 5410.75}"
2025-03-25 11:01:11.370739,"{'Blue': 12, 'White': 2, 'Black': 10}","{'Blue': 8416.79, 'White': 1182.75, 'Black': 4418.15}"
2025-03-25 11:01:11.386454,"{'Blue': 13, 'White': 2, 'Black': 8}","{'Blue': 7868.42, 'White': 1314.0, 'Black': 5609.0}"
2025-03-25 11:01:11.399419,"{'Blue': 13, 'White': 2, 'Black': 8}","{'Blue': 7868.42, 'White': 1314.0, 'Black': 5609.0}"
2025-03-25 11:01:11.415980,"{'Blue': 13, 'White': 2, 'Black': 8}","{'Blue': 7868.42, 'White': 1314.0, 'Black': 5609.0}"
2025-03-25 11:01:11.431554,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 9349.95, 'White': 1195.0, 'Black': 4600.7}"
2025-03-25 11:01:11.446385,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 9349.95, 'White': 1195.0, 'Black': 4600.7}"
2025-03-25 11:01:11.462518,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 9349.95, 'White': 1195.0, 'Black': 4600.7}"
2025-03-25 11:01:11.479494,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 9612.28, 'White': 1824.0, 'Black': 5413.06}"
2025-03-25 11:01:11.493479,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 9612.28, 'White': 1824.0, 'Black': 5413.06}"
2025-03-25 11:01:11.509667,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 9612.28, 'White': 1824.0, 'Black': 5413.06}"
2025-03-25 11:01:11.524655,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 9437.11, 'White': 2161.5, 'Black': 5642.0}"
2025-03-25 11:01:11.538640,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 9437.11, 'White': 2161.5, 'Black': 5642.0}"
2025-03-25 11:01:11.553873,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 9437.11, 'White': 2161.5, 'Black': 5642.0}"
2025-03-25 11:01:11.569830,"{'Blue': 9, 'White': 3, 'Black': 8}","{'Blue': 9453.5, 'White': 2204.67, 'Black': 6600.5}"
2025-03-25 11:01:11.584614,"{'Blue': 9, 'White': 3, 'Black': 8}","{'Blue': 9453.5, 'White': 2204.67, 'Black': 6600.5}"
2025-03-25 11:01:11.599758,"{'Blue': 9, 'White': 3, 'Black': 8}","{'Blue': 9453.5, 'White': 2204.67, 'Black': 6600.5}"
2025-03-25 11:01:11.615466,"{'Blue': 9, 'White': 3, 'Black': 8}","{'Blue': 9453.5, 'White': 2204.67, 'Black': 6600.5}"
2025-03-25 11:01:11.631239,"{'Blue': 8, 'White': 3, 'Black': 9}","{'Blue': 9992.06, 'White': 2374.5, 'Black': 5961.94}"
2025-03-25 11:01:11.647474,"{'Blue': 8, 'White': 3, 'Black': 9}","{'Blue': 9992.06, 'White': 2374.5, 'Black': 5961.94}"
2025-03-25 11:01:11.663751,"{'Blue': 8, 'White': 3, 'Black': 9}","{'Blue': 9992.06, 'White': 2374.5, 'Black': 5961.94}"
2025-03-25 11:01:11.679525,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 8986.0, 'White': 2468.33, 'Black': 5982.39}"
2025-03-25 11:01:11.695241,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 8986.0, 'White': 2468.33, 'Black': 5982.39}"
2025-03-25 11:01:11.711054,"{'Blue': 9, 'White': 3, 'Black': 9}","{'Blue': 8986.0, 'White': 2468.33, 'Black': 5982.39}"
2025-03-25 11:01:11.739942,"{'Blue': 8, 'White': 3, 'Black': 8}","{'Blue': 10034.25, 'White': 2434.17, 'Black': 6590.0}"
2025-03-25 11:01:11.755950,"{'Blue': 8, 'White': 3, 'Black': 8}","{'Blue': 10034.25, 'White': 2434.17, 'Black': 6590.0}"
2025-03-25 11:01:11.771906,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9784.38, 'White': 2574.0, 'Black': 5389.9}"
2025-03-25 11:01:11.787370,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9784.38, 'White': 2574.0, 'Black': 5389.9}"
2025-03-25 11:01:11.800336,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9784.38, 'White': 2574.0, 'Black': 5389.9}"
2025-03-25 11:01:11.818936,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9784.38, 'White': 2574.0, 'Black': 5389.9}"
2025-03-25 11:01:11.834649,"{'Blue': 7, 'White': 3, 'Black': 10}","{'Blue': 10743.79, 'White': 2689.83, 'Black': 5393.3}"
2025-03-25 11:01:11.850358,"{'Blue': 7, 'White': 3, 'Black': 10}","{'Blue': 10743.79, 'White': 2689.83, 'Black': 5393.3}"
2025-03-25 11:01:11.865677,"{'Blue': 7, 'White': 3, 'Black': 10}","{'Blue': 10743.79, 'White': 2689.83, 'Black': 5393.3}"
2025-03-25 11:01:11.882118,"{'Blue': 7, 'White': 3, 'Black': 9}","{'Blue': 11027.79, 'White': 2810.67, 'Black': 5821.72}"
2025-03-25 11:01:11.896865,"{'Blue': 7, 'White': 3, 'Black': 9}","{'Blue': 11027.79, 'White': 2810.67, 'Black': 5821.72}"
2025-03-25 11:01:11.912001,"{'Blue': 7, 'White': 3, 'Black': 9}","{'Blue': 11027.79, 'White': 2810.67, 'Black': 5821.72}"
2025-03-25 11:01:11.926961,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 7702.45, 'White': 2910.17, 'Black': 5376.85}"
2025-03-25 11:01:11.941942,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 7702.45, 'White': 2910.17, 'Black': 5376.85}"
2025-03-25 11:01:11.957321,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 7702.45, 'White': 2910.17, 'Black': 5376.85}"
2025-03-25 11:01:11.972507,"{'Blue': 10, 'White': 3, 'Black': 10}","{'Blue': 7702.45, 'White': 2910.17, 'Black': 5376.85}"
2025-03-25 11:01:11.987906,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9376.62, 'White': 2836.5, 'Black': 5511.3}"
2025-03-25 11:01:11.999874,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9376.62, 'White': 2836.5, 'Black': 5511.3}"
2025-03-25 11:01:12.018339,"{'Blue': 8, 'White': 3, 'Black': 10}","{'Blue': 9376.62, 'White': 2836.5, 'Black': 5511.3}"
2025-03-25 11:01:12.034132,"{'Blue': 10, 'White': 3, 'Black': 11}","{'Blue': 7518.3, 'White': 2738.17, 'Black': 5034.77}"
2025-03-25 11:01:12.049842,"{'Blue': 10, 'White': 3, 'Black': 11}","{'Blue': 7518.3, 'White': 2738.17, 'Black': 5034.77}"
2025-03-25 11:01:12.066017,"{'Blue': 10, 'White': 3, 'Black': 11}","{'Blue': 7518.3, 'White': 2738.17, 'Black': 5034.77}"
2025-03-25 11:01:12.082705,"{'Blue': 11, 'White': 3, 'Black': 10}","{'Blue': 6584.59, 'White': 2711.17, 'Black': 5854.25}"
2025-03-25 11:01:12.097665,"{'Blue': 11, 'White': 3, 'Black': 10}","{'Blue': 6584.59, 'White': 2711.17, 'Black': 5854.25}"
2025-03-25 11:01:12.114622,"{'Blue': 11, 'White': 3, 'Black': 10}","{'Blue': 6584.59, 'White': 2711.17, 'Black': 5854.25}"
2025-03-25 11:01:12.128583,"{'Blue': 7, 'White': 3, 'Black': 10}","{'Blue': 9707.43, 'White': 2844.0, 'Black': 5676.55}"
2025-03-25 11:01:12.145537,"{'Blue': 7, 'White': 3, 'Black': 10}","{'Blue': 9707.43, 'White': 2844.0, 'Black': 5676.55}"
2025-03-25 11:01:12.161495,"{'Blue': 7, 'White': 3, 'Black': 10}","{'Blue': 9707.43, 'White': 2844.0, 'Black': 5676.55}"
2025-03-25 11:01:12.175427,"{'Blue': 8, 'White': 3, 'Black': 9}","{'Blue': 8285.19, 'White': 2968.0, 'Black': 6610.94}"
2025-03-25 11:01:12.190412,"{'Blue': 8, 'White': 3, 'Black': 9}","{'Blue': 8285.19, 'White': 2968.0, 'Black': 6610.94}"
2025-03-25 11:01:12.207396,"{'Blue': 8, 'White': 3, 'Black': 9}","{'Blue': 8285.19, 'White': 2968.0, 'Black': 6610.94}"
2025-03-25 11:01:12.223353,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 9154.36, 'White': 3302.0, 'Black': 8223.07}"
2025-03-25 11:01:12.238342,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 9154.36, 'White': 3302.0, 'Black': 8223.07}"
2025-03-25 11:01:12.254136,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 9154.36, 'White': 3302.0, 'Black': 8223.07}"
2025-03-25 11:01:12.270610,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 9154.36, 'White': 3302.0, 'Black': 8223.07}"
2025-03-25 11:01:12.286547,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 8990.36, 'White': 3796.83, 'Black': 8195.14}"
2025-03-25 11:01:12.301440,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 8990.36, 'White': 3796.83, 'Black': 8195.14}"
2025-03-25 11:01:12.317949,"{'Blue': 7, 'White': 3, 'Black': 7}","{'Blue': 8990.36, 'White': 3796.83, 'Black': 8195.14}"
2025-03-25 11:01:12.333656,"{'Blue': 9, 'White': 4, 'Black': 6}","{'Blue': 7596.33, 'White': 3843.25, 'Black': 8571.0}"
2025-03-25 11:01:12.348548,"{'Blue': 9, 'White': 4, 'Black': 6}","{'Blue': 7596.33, 'White': 3843.25, 'Black': 8571.0}"
2025-03-25 11:01:12.364526,"{'Blue': 9, 'White': 4, 'Black': 6}","{'Blue': 7596.33, 'White': 3843.25, 'Black': 8571.0}"
2025-03-25 11:01:12.380484,"{'Blue': 10, 'White': 4, 'Black': 4}","{'Blue': 7362.1, 'White': 5423.0, 'Black': 10628.62}"
2025-03-25 11:01:12.396163,"{'Blue': 10, 'White': 4, 'Black': 4}","{'Blue': 7362.1, 'White': 5423.0, 'Black': 10628.62}"
2025-03-25 11:01:12.411340,"{'Blue': 10, 'White': 4, 'Black': 4}","{'Blue': 7362.1, 'White': 5423.0, 'Black': 10628.62}"
2025-03-25 11:01:12.427297,"{'Blue': 14, 'White': 4, 'Black': 4}","{'Blue': 5274.43, 'White': 8000.75, 'Black': 9787.0}"
2025-03-25 11:01:12.443124,"{'Blue': 14, 'White': 4, 'Black': 4}","{'Blue': 5274.43, 'White': 8000.75, 'Black': 9787.0}"
2025-03-25 11:01:12.457994,"{'Blue': 14, 'White': 4, 'Black': 4}","{'Blue': 5274.43, 'White': 8000.75, 'Black': 9787.0}"
2025-03-25 11:01:12.473222,"{'Blue': 14, 'White': 4, 'Black': 4}","{'Blue': 5274.43, 'White': 8000.75, 'Black': 9787.0}"
2025-03-25 11:01:12.487564,"{'Blue': 11, 'White': 3, 'Black': 6}","{'Blue': 6432.77, 'White': 14101.67, 'Black': 6090.0}"
2025-03-25 11:01:12.502845,"{'Blue': 11, 'White': 3, 'Black': 6}","{'Blue': 6432.77, 'White': 14101.67, 'Black': 6090.0}"
2025-03-25 11:01:12.518628,"{'Blue': 11, 'White': 3, 'Black': 6}","{'Blue': 6432.77, 'White': 14101.67, 'Black': 6090.0}"
2025-03-25 11:01:12.534089,"{'Blue': 12, 'White': 3, 'Black': 6}","{'Blue': 5793.58, 'White': 16861.83, 'Black': 5401.08}"
2025-03-25 11:01:12.550074,"{'Blue': 12, 'White': 3, 'Black': 6}","{'Blue': 5793.58, 'White': 16861.83, 'Black': 5401.08}"
2025-03-25 11:01:12.565034,"{'Blue': 12, 'White': 3, 'Black': 6}","{'Blue': 5793.58, 'White': 16861.83, 'Black': 5401.08}"
2025-03-25 11:01:12.581077,"{'Blue': 12, 'White': 3, 'Black': 6}","{'Blue': 5793.58, 'White': 16861.83, 'Black': 5401.08}"
2025-03-25 11:01:12.597056,"{'Blue': 7, 'White': 3, 'Black': 8}","{'Blue': 7522.71, 'White': 16793.33, 'Black': 5022.44}"
2025-03-25 11:01:12.612908,"{'Blue': 7, 'White': 3, 'Black': 8}","{'Blue': 7522.71, 'White': 16793.33, 'Black': 5022.44}"
2025-03-25 11:01:12.627895,"{'Blue': 5, 'White': 3, 'Black': 6}","{'Blue': 6437.6, 'White': 18793.5, 'Black': 6039.75}"
2025-03-25 11:01:12.643877,"{'Blue': 5, 'White': 3, 'Black': 6}","{'Blue': 6437.6, 'White': 18793.5, 'Black': 6039.75}"
2025-03-25 11:01:12.658862,"{'Blue': 5, 'White': 3, 'Black': 6}","{'Blue': 6437.6, 'White': 18793.5, 'Black': 6039.75}"
2025-03-25 11:01:12.673822,"{'Blue': 5, 'White': 3, 'Black': 9}","{'Blue': 4640.1, 'White': 23713.0, 'Black': 4449.72}"
2025-03-25 11:01:12.689120,"{'Blue': 5, 'White': 3, 'Black': 9}","{'Blue': 4640.1, 'White': 23713.0, 'Black': 4449.72}"
2025-03-25 11:01:12.704403,"{'Blue': 5, 'White': 3, 'Black': 9}","{'Blue': 4640.1, 'White': 23713.0, 'Black': 4449.72}"
2025-03-25 11:01:12.720493,"{'Blue': 5, 'White': 3, 'Black': 9}","{'Blue': 4640.1, 'White': 23713.0, 'Black': 4449.72}"
2025-03-25 11:01:12.734665,"{'Green': 1, 'Blue': 4, 'White': 3, 'Black': 3}","{'Green': 1322.0, 'Blue': 4065.38, 'White': 27989.33, 'Black': 13938.83}"
2025-03-25 11:01:12.749959,"{'Green': 1, 'Blue': 4, 'White': 3, 'Black': 3}","{'Green': 1322.0, 'Blue': 4065.38, 'White': 27989.33, 'Black': 13938.83}"
2025-03-25 11:01:12.765310,"{'Green': 1, 'Blue': 4, 'White': 3, 'Black': 3}","{'Green': 1322.0, 'Blue': 4065.38, 'White': 27989.33, 'Black': 13938.83}"
2025-03-25 11:01:12.781968,"{'Green': 1, 'Blue': 4, 'White': 3, 'Black': 3}","{'Green': 1322.0, 'Blue': 4065.38, 'White': 27989.33, 'Black': 13938.83}"
2025-03-25 11:01:12.796955,"{'Green': 1, 'Blue': 5, 'White': 3, 'Black': 2}","{'Green': 830.5, 'Blue': 1766.0, 'White': 32164.83, 'Black': 24403.25}"
2025-03-25 11:01:12.811664,"{'Green': 1, 'Blue': 5, 'White': 3, 'Black': 2}","{'Green': 830.5, 'Blue': 1766.0, 'White': 32164.83, 'Black': 24403.25}"
2025-03-25 11:01:12.828148,"{'Green': 1, 'Blue': 5, 'White': 3, 'Black': 2}","{'Green': 830.5, 'Blue': 1766.0, 'White': 32164.83, 'Black': 24403.25}"
2025-03-25 11:01:12.842769,"{'Red': 1, 'Blue': 3, 'White': 3, 'Black': 1}","{'Red': 680.0, 'Blue': 1404.0, 'White': 28569.83, 'Black': 59524.5}"
2025-03-25 11:01:12.857758,"{'Red': 1, 'Blue': 3, 'White': 3, 'Black': 1}","{'Red': 680.0, 'Blue': 1404.0, 'White': 28569.83, 'Black': 59524.5}"
2025-03-25 11:01:12.872561,"{'Red': 1, 'Blue': 3, 'White': 3, 'Black': 1}","{'Red': 680.0, 'Blue': 1404.0, 'White': 28569.83, 'Black': 59524.5}"
2025-03-25 11:01:12.887199,"{'Red': 1, 'Blue': 2, 'White': 2, 'Black': 1}","{'Red': 1405.0, 'Blue': 1869.0, 'White': 38778.0, 'Black': 60037.0}"
2025-03-25 11:01:12.902705,"{'Red': 1, 'Blue': 2, 'White': 2, 'Black': 1}","{'Red': 1405.0, 'Blue': 1869.0, 'White': 38778.0, 'Black': 60037.0}"
2025-03-25 11:01:12.919442,"{'Red': 1, 'Blue': 2, 'White': 2, 'Black': 1}","{'Red': 1405.0, 'Blue': 1869.0, 'White': 38778.0, 'Black': 60037.0}"
2025-03-25 11:01:12.935298,"{'Red': 1, 'Yellow': 2, 'Blue': 3, 'White': 2, 'Black': 1}","{'Red': 1350.0, 'Yellow': 588.5, 'Blue': 590.67, 'White': 40900.25, 'Black': 57817.5}"
2025-03-25 11:01:12.951008,"{'Red': 1, 'Yellow': 2, 'Blue': 3, 'White': 2, 'Black': 1}","{'Red': 1350.0, 'Yellow': 588.5, 'Blue': 590.67, 'White': 40900.25, 'Black': 57817.5}"
2025-03-25 11:01:12.965933,"{'Red': 1, 'Yellow': 2, 'Blue': 3, 'White': 2, 'Black': 1}","{'Red': 1350.0, 'Yellow': 588.5, 'Blue': 590.67, 'White': 40900.25, 'Black': 57817.5}"
2025-03-25 11:01:12.981661,"{'Red': 1, 'White': 2, 'Black': 1}","{'Red': 1064.5, 'White': 26533.25, 'Black': 56774.0}"
2025-03-25 11:01:12.997095,"{'Red': 1, 'White': 2, 'Black': 1}","{'Red': 1064.5, 'White': 26533.25, 'Black': 56774.0}"
2025-03-25 11:01:13.012122,"{'White': 1, 'Black': 1}","{'White': 41322.5, 'Black': 58522.0}"
2025-03-25 11:01:13.027508,"{'White': 1, 'Black': 1}","{'White': 41322.5, 'Black': 58522.0}"
2025-03-25 11:01:13.043492,"{'White': 1, 'Black': 1}","{'White': 41322.5, 'Black': 58522.0}"
2025-03-25 11:01:13.058482,"{'White': 3, 'Black': 1}","{'White': 10247.17, 'Black': 64007.5}"
2025-03-25 11:01:13.074466,"{'White': 3, 'Black': 1}","{'White': 10247.17, 'Black': 64007.5}"
2025-03-25 11:01:13.090423,"{'White': 3, 'Black': 1}","{'White': 5665.17, 'Black': 66702.0}"
2025-03-25 11:01:13.106380,"{'White': 3, 'Black': 1}","{'White': 5665.17, 'Black': 66702.0}"
2025-03-25 11:01:13.120342,"{'White': 3, 'Black': 1}","{'White': 5665.17, 'Black': 66702.0}"
2025-03-25 11:01:13.136300,"{'Blue': 1, 'White': 4, 'Black': 1}","{'Blue': 1028.5, 'White': 2598.0, 'Black': 68547.0}"
2025-03-25 11:01:13.152258,"{'Blue': 1, 'White': 4, 'Black': 1}","{'Blue': 1028.5, 'White': 2598.0, 'Black': 68547.0}"
2025-03-25 11:01:13.168195,"{'Blue': 1, 'White': 4, 'Black': 1}","{'Blue': 994.0, 'White': 1960.75, 'Black': 69612.5}"
2025-03-25 11:01:13.182626,"{'Blue': 1, 'White': 4, 'Black': 1}","{'Blue': 994.0, 'White': 1960.75, 'Black': 69612.5}"
2025-03-25 11:01:13.199632,"{'Blue': 1, 'White': 4, 'Black': 1}","{'Blue': 994.0, 'White': 1960.75, 'Black': 69612.5}"
